"Name","Brand","Unit","Attribute 1","Attribute 2","Attribute 3"
"Facial Hair Band","(brand=Unknown)","(unit=pcs)",,,
"Facial Kit","(brand=Pearl)","(unit=pcs)",,,
"Facial Kit","(brand=Unknown)","(unit=pcs)","(attr=Mango)",,
"Facial kit","(brand=Unknown)","(unit=pcs)","(attr=Fruite)",,
"Facial Mask","(brand=Pore Purifying)","(unit=pcs)",,,
"Facial Mask","(brand=Mond Sub)","(unit=pcs)","(attr=Sub","Moisturising)",
"Facial Mask","(brand=Unknown)","(unit=pcs)","(size=Medium)",,
"Facial Paraffin","(brand=Unknown)","(unit=pcs)",,,
"Facial Puff","(brand=mazic)","(unit=pcs)",,,
"Facial Steam Machin","(brand=Unknown)","(unit=pcs)",,,
"Facial Tissue","(brand=Unknown)","(unit=box)",,,
"Facial Tray","(brand=Unknown)","(unit=pcs)",,,
"Fair Polish Brush","(brand=Jhonson)","(unit=pcs)",,,
"False Hair","(brand=Unknown)","(unit=pcs)",,,
"False High","(brand=Unknown)","(unit=pcs)","(attr=Light)",,
"Fashion 90","(brand=Unknown)","(unit=box)",,,
"Febric","(brand=Unknown)","(unit=pcs)",,,
"Floor Cleaner","(brand=Unknown)","(unit=???)",,,
"Foil Paper","(brand=Unknown)","(unit=pcs)","(attr=White)",,
"Foil Paper","(brand=Unknown)","(unit=pcs)","(attr=Color)",,
"Foot Spa Machin P/H","(brand=Unknown)","(unit=pcs)",,,
"Foot Spa Set","(brand=O.P.I)","(unit=pcs)",,,
"Foot Spa Soack","(brand=Unknown)","(unit=pcs)","(attr=Plastic)",,
"Galvanic Machin","(brand=Unknown)","(unit=pcs)",,,
"Gel","(brand=Milk Beauty)","(unit=pcs)",,,
"Gel Nail Buffer","(brand=Unknown)","(unit=pcs)",,,
"Gel Nail File","(brand=Unknown)","(unit=pcs)",,,
"Gel Nail Remover","(brand=Unknown)","(unit=bottle)",,,
"Gel Nail Shiner","(brand=Unknown)","(unit=pcs)",,,
"Glass","(brand=Unknown)","(unit=???)",,,
"Glass","(brand=Unknown)","(unit=pcs)","(attr=1Time)",,
"Glass Bowl","(brand=Unknown)","(unit=???)","(size=small)",,
"Glass Bowl","(brand=Unknown)","(unit=??)","(size=small)","(attr=Plane)",
"Glass Cleaner","(brand=Unknown)","(unit=pcs)",,,
"Gletter","(brand=Unknown)","(unit=pcs)","(attr=Gloden)",,
"Gletter","(brand=Unknown)","(unit=pcs)","(attr=Silver)",,
"Gold Facial Kit","(brand=Unknown)","(unit=pcs)",,,
"Hair Damaged","(brand=Keratin)","(unit=???)","(attr=From Heat&Blow Dry)",,
"Hair Damaged ","(brand=Keratin)","(unit=???)","(attr=From Color)",,
"Hair Damaged ","(brand=Keratin)","(unit=???)","(attr=From Straightening)",,
"Hair Dryer","(brand=Unknown)","(unit=pcs)",,,
"Hair Duster","(brand=Unknown)","(unit=pcs)",,,
"Hair Duster","(brand=Unknown)","(unit=pcs)",,,
"Hair Extention","(brand=Unknown)","(unit=pcs)","(attr=Stick Pipe)",,
"Hair Extention","(brand=Unknown)","(unit=pcs)","(attr=Gum)",,
"Hair Extention Machin","(brand=Unknown)","(unit=pcs)",,,
"Hair Extention Stick","(brand=Unknown)","(unit=pcs)",,,
"Hair Gel","(brand=Unknown)","(unit=pcs)",,,
"Hair Gel Spray","(brand=Dcash)","(unit=pcs)",,,
"Hair Gletter","(brand=Unknown)","(unit=pcs)",,,
"Hair Spa","(brand=Unknown)","(unit=pcs)","(attr=Caring)",,
"Hair Speray","(brand=Unknown)","(unit=pcs)","(attr=Soft)",,
"Hair Sprary Conditionar","(brand=Leavon)","(unit=pcs)",,,
"Hair Steam Machin","(brand=Unknown)","(unit=pcs)",,,
"Hair Straightner Dryer","(brand=Unknown)","(unit=pcs)",,,
"Hair Tonic","(brand=Unknown)","(unit=pcs)",,,
"Hand & Foot Scrub","(brand=Meena)","(unit=kg)",,,
"Hand Gloves","(brand=Unknown)","(unit=pkt)","(attr=1Time)",,
"Hand Gloves","(brand=Unknown)","(unit=box)","(attr=Plastic)",,
"Hand Gloves","(brand=Unknown)","(unit=pcs)","(attr=wool)",,
"Hand Mirror","(brand=Unknown)","(unit=pcs)",,,
"Hand Wash","(brand=Unknown)","(unit=pcs)",,,
"Hand Wash","(brand=Unknown)","(unit=pcs)","(attr=Push)",,
"Hard Speray","(brand=Unknown)","(unit=pcs)",,,
"Hena Clip","(brand=Unknown)","(unit=Box)",,,
"Hena Powder","(brand=Unknown)","(unit=pkt)",,,
"Henna Rebonding","(brand=Unknown)","(unit=pair)",,,
"High Energy Spa Blance","(brand=O'Trail)","(unit=pcs)",,,
"High Protein Nourish","(brand=O'Trail)","(unit=pcs)",,,
"Honey","(brand=Unknown)","(unit=kg)",,,
"Hydreting concernted","(brand=Hair Spa)","(unit=box)",,,
